departamento,internet,poblacion_menor_30
Provincia de Lima 2/,72.8,26.95
Lima,71.0,26.62
Prov. Const.Callao,70.7,27.04
Tacna,62.1,27.36
Tumbes,61.0,27.56
Ica,59.7,27.78
Moquegua,57.3,24.52
Arequipa,57.3,26.74
La Libertad,56.5,29.1
Lambayeque,53.4,28.57
Lima Provincias,53.3,26.95
Madre de Dios,52.5,29.8
Áncash,48.0,27.86
Piura,47.1,29.16
Ucayali,46.2,32.07
Junín,41.4,30.03
Puno,37.0,29.54
Pasco,36.4,30.15
San Martín,35.5,30.56
Huánuco,33.6,32.12
Cusco,33.6,31.26
Ayacucho,32.8,31.67
Loreto,31.8,32.27
Huancavelica,26.3,32.08
Amazonas,26.1,31.77
Cajamarca,25.6,29.91
Apurímac,19.2,30.55
